Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,1.96,16.4,0,KBytes
1.00,5.00,41.9,0,KBytes
2.00,5.50,46.1,0,KBytes
3.00,5.62,47.2,0,KBytes
4.00,5.50,46.1,0,MBytes
5.00,5.25,44.0,0,MBytes
6.00,5.00,41.9,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.00,41.9,0,MBytes
9.00,5.00,41.9,0,MBytes
10.00,5.00,41.9,0,MBytes
11.00,5.12,43.0,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.12,43.0,0,MBytes
14.00,5.00,42.0,0,MBytes
15.00,5.00,41.9,0,MBytes
16.00,5.12,43.0,0,MBytes
17.00,3.50,29.4,0,MBytes
18.00,0.00,0.00,0,MBytes
19.00,0.00,0.00,1,KBytes
20.00,1.88,15.7,1,MBytes
21.00,0.00,0.00,0,MBytes
22.00,0.00,0.00,0,MBytes
23.00,0.00,0.00,0,MBytes
24.00,0.00,0.00,0,MBytes
25.00,0.00,0.00,0,MBytes
26.00,0.00,0.00,7,KBytes
27.00,1.25,10.5,1106,KBytes
28.00,512,4.19,346,KBytes
29.00,256,2.10,0,MBytes
30.00,256,2.10,0,MBytes
31.00,512,4.19,0,MBytes
32.00,640,5.24,0,MBytes
33.00,640,5.24,0,MBytes
34.00,640,5.24,0,MBytes
35.00,512,4.19,0,MBytes
36.00,512,4.19,0,MBytes
37.00,768,6.29,0,MBytes
38.00,1.62,13.6,0,MBytes
39.00,4.62,38.8,0,MBytes
40.00,5.00,41.9,0,MBytes
41.00,5.00,41.9,0,MBytes
42.00,5.12,43.0,0,MBytes
43.00,5.00,41.9,0,MBytes
44.00,5.12,43.0,0,MBytes
45.00,5.00,41.9,0,MBytes
46.00,1.25,44.6,0,MBytes
0.00,134,24.3,1461,
0.00,0.00,0.00,receiver,
