Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,3.21,26.9,0,KBytes
1.00,5.62,47.2,0,KBytes
2.00,5.50,46.1,0,KBytes
3.00,5.50,46.1,0,KBytes
4.00,5.50,46.1,0,MBytes
5.00,5.00,41.9,0,MBytes
6.00,5.00,41.9,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.12,43.0,0,MBytes
9.00,5.00,42.0,0,MBytes
10.00,5.00,41.9,0,MBytes
11.00,5.00,41.9,0,MBytes
12.00,5.12,43.0,0,MBytes
13.00,5.00,41.9,0,MBytes
14.00,5.12,43.0,0,MBytes
15.00,5.00,41.9,0,MBytes
16.00,5.12,43.0,0,MBytes
17.00,4.75,39.8,0,MBytes
18.00,3.00,25.2,0,MBytes
19.00,768,6.29,0,MBytes
20.00,512,4.19,0,MBytes
21.00,512,4.19,0,MBytes
22.00,512,4.19,0,MBytes
23.00,384,3.15,0,MBytes
24.00,384,3.15,0,MBytes
25.00,384,3.15,0,MBytes
26.00,256,2.10,0,MBytes
27.00,384,3.15,0,MBytes
28.00,256,2.10,0,MBytes
29.00,256,2.10,0,MBytes
30.00,256,2.10,0,MBytes
31.00,256,2.10,0,MBytes
32.00,256,2.10,0,MBytes
33.00,256,2.10,0,MBytes
34.00,256,2.10,0,MBytes
35.00,128,1.05,0,MBytes
36.00,256,2.10,0,MBytes
37.00,256,2.10,0,MBytes
38.00,384,3.15,0,MBytes
39.00,640,5.24,0,MBytes
40.00,1.00,8.39,0,MBytes
41.00,1.62,13.6,0,MBytes
42.00,4.38,36.7,0,MBytes
43.00,5.00,41.9,0,MBytes
44.00,5.00,41.9,0,MBytes
45.00,5.12,43.0,0,MBytes
46.00,1.88,42.8,0,MBytes
0.00,125,22.6,0,
0.00,0.00,0.00,receiver,
